2,8,8
3,7,8
3,8,7
3,9,7
3,10,7
3,11,7
3,12,7
4,6,8
4,7,8
4,8,7
4,9,7
4,10,7
4,11,7
4,12,7
5,5,8
5,6,8
5,7,8
5,8,7
5,9,7
5,10,7
5,11,8
5,12,8
6,4,3
6,6,8
6,7,8
6,8,7
6,9,7
6,10,7
6,11,7
6,12,7
7,1,1
7,2,1
7,5,3
7,7,8
7,8,7
7,9,7
7,10,7
7,11,7
7,12,7
8,5,2
8,8,8
9,1,1
9,2,1
9,5,2
10,4,2
15,8,9
15,9,9
15,14,9
16,9,9
16,10,9
16,13,9
16,14,9
17,10,9
17,11,9
17,12,9
17,13,9
17,14,7
17,15,7
17,16,7
17,17,7
17,18,7
17,19,7
18,10,9
18,11,9
18,12,9
18,13,7
18,14,7
18,15,7
18,16,7
18,17,7
18,18,8
18,19,10
19,9,9
19,10,9
19,11,9
19,12,9
19,14,7
19,15,7
19,16,7
19,17,7
19,18,7
19,19,7
20,8,9
20,9,9
20,12,9
20,13,9
21,8,9
21,13,9
21,14,9
25,8,8
26,8,8
26,9,8
26,10,8
26,11,7
27,8,8
27,10,12
27,11,7
28,8,8
28,9,8
28,10,8
28,11,7
29,8,8
